Date,Close
Apr-18,8033.596667
Mar-18,9040.557097
Feb-18,9472.001071
Jan-18,13085.55806
Dec-17,15294.27097
Nov-17,7813.133
Oct-17,5360.071613
Sep-17,4064.836333
Aug-17,3880.99
Jul-17,2519.418387
Jun-17,2636.204333
May-17,1895.383548
Apr-17,1206.641
Mar-17,1129.365484
Feb-17,1062.533214
Jan-17,914.9164516
Dec-16,828.06
Nov-16,726.3493333
Oct-16,643.55
Sep-16,605.8486667
Aug-16,579.5854839
Jul-16,661.3567742
Jun-16,642.8703333
May-16,461.9548387
Apr-16,434.3393333
Mar-16,416.5264516
Feb-16,404.4086207
Jan-16,410.8448387
Dec-15,424.4648387
Nov-15,348.8833333
Oct-15,264.8554839
Sep-15,233.5956667
Aug-15,250.7348387
Jul-15,279.563871
Jun-15,238.0813333
May-15,236.9974194
Apr-15,235.4923333
Mar-15,269.0425806
Feb-15,234.1539286
Jan-15,248.7835484
Dec-14,341.2687097
Nov-14,366.1003333
Oct-14,364.15
Sep-14,445.1866667
Aug-14,536.0883871
Jul-14,618.026129
Jun-14,615.9173333
May-14,486.6512903
Apr-14,461.3636667
Mar-14,592.2003226
Feb-14,661.6182143
Jan-14,844.1683871
Dec-13,800.7809677
Nov-13,550.4206667
Oct-13,158.3119355
Sep-13,130.0616667
Aug-13,113.9058065
Jul-13,90.51225806
Jun-13,107.7613333
18-May,119.9932258
