Date,Close
Apr-18,134.3266667
Mar-18,169.0216129
Feb-18,185.2128571
Jan-18,216.0567742
Dec-17,229.4429032
Nov-17,68.90566667
Oct-17,56.26451613
Sep-17,59.463
Aug-17,49.38193548
Jul-17,44.83806452
Jun-17,37.04566667
May-17,26.56806452
Apr-17,11.17733333
Mar-17,4.162580645
Feb-17,3.868928571
Jan-17,4.037096774
Dec-16,3.920967742
Nov-16,3.904333333
Oct-16,3.880322581
Sep-16,3.871666667
Aug-16,3.726129032
Jul-16,4.16
Jun-16,4.778
May-16,4.021935484
Apr-16,3.389333333
Mar-16,3.266451613
Feb-16,3.236551724
Jan-16,3.299032258
Dec-15,3.570322581
Nov-15,3.447333333
Oct-15,3.160967742
Sep-15,2.889666667
Aug-15,3.656774194
Jul-15,4.568709677
Jun-15,2.439666667
May-15,1.558709677
Apr-15,1.488333333
Mar-15,1.851290323
Feb-15,1.811071429
Jan-15,1.791612903
Dec-14,3.172903226
Nov-14,3.680333333
Oct-14,3.904193548
Sep-14,4.823666667
Aug-14,5.842258065
Jul-14,8.008064516
Jun-14,10.196
May-14,10.6816129
Apr-14,11.45466667
Mar-14,15.69419355
Feb-14,16.9375
Jan-14,24.13483871
Dec-13,26.61354839
Nov-13,10.76033333
Oct-13,2.074193548
Sep-13,2.566666667
Aug-13,2.72516129
Jul-13,2.849354839
Jun-13,2.613333333
May-13,3.224193548
